firstname;gender
Fernandine;w
Fernando;m
Ferruccio;m
Festina;w
Fiammetta;w
Fidel;m
Fidelio;m
Fidelis;m
Fidelius;m
Fido;m
Filarete;m
Filibert;m
Filiberta;w
Filiberto;m
Filip;m
Filipa;w
Filipe;m
Filipp;m
Filippo;m
Filiz;w
Filomena;w
Fina;w
Fina;w
Finbar;m
Finetta;w
Finette;w
Finja;w
Finn;m
Finn;m
Fiona;w
Fíona;w
Fionn;m
Fionnbharr;m
Fiorella;w
Fiorenza;w
Fiorenzo;m
Firat;m
Firmin;m
Firmino;m
Fisnik;m
Fitim;m
Fjodor;m
Flaminio;m
Flamur;m
Flavia;w
Flavienne;w
Flavio;m
Flora;w
Florence;w
Florence;m
Florencio;m
Florens;m
Florenti;m
Florentia;w
Florentin;m
Florentina;w
Florentine;w
Florentyna;w
Florenz;m
Florenzia;w
Floretta;w
Florian;m
Floriana;w
Floriane;w
Florin;m
Florina;w
Florine;w
Floris;m
Floro;m
Florus;m
Floyd;m
Flurin;m
Flurina;w
Folke;m
Folko;m
Fortunat;m
Fortunata;w
Fortunato;m
Fortunatus;m
Fosca;w
Fosco;m
Foulques;m
Franca;w
Frances;w
Francesca;w
Francesco;m
Francine;w
Francis;m
Francisca;w
Francisco;m
Franciszek;m
Franco;m
François;m
Françoise;w
Frank;m
Frank Stefan;m
Franka;w
Frankie;m
Franklin;m
Franko;m
Frantisek;m
Franz;m
Franziska;w
Franziskus;m
Frauke;w
Fred;m
Freddie;m
Freddy;m
Frederic;m
Frédéric;m
Frederica;w
Frederick;m
Fredericka;w
Frederico;m
Frederik;m
Frederika;w
Frederike;w
Fredrick;m
Fredrik;m
Fredy;m
Freia;w
Freja;w
Frerik;m
Freya;w
Frida;w
Friderike;w
Fridolin;m
Fridtjof;m
Frieda;w
Friede;w
Friedegund;w
Friedemann;m
Frieder;m
Friederich;m
Friederika;w
Friederike;w
Friedrich;m
Frithjof;m
Fritiof;m
Fritjof;m
Fryderyk;m
Fulke;m
Fulvia;w
Fulvio;m
Furkan;m
Fynn;m
Gabi;w
Gábor;m
Gabriel;m
Gabriela;w
Gabriele;w
Gabriele;m
Gabriella;w
Gabrielle;w
Gabriello;m
Gaby;w
Gad;m
Gaëlle;w
Gaétan;m
Gaetano;m
Gaia;w
Gaia;w
Gail;w
Gaio;m
Gamze;w
Garet;m
Gareth;m
Garnet;w
Garnett;w
Garnier;m
Garrett;m
Garry;m
Gary;m
Gaspar;m
Gáspár;m
Gaspard;m
Gaspare;m
Gasparo;m
Gaston;m
Gastone;m
Gaudens;m
Gaudenz;m
Gaudenzio;m
Gauthier;m
Gautier;m
Gaven;m
Gavin;m
Gavril;m
Gayle;w
Gaynor;w
Gebbert;m
Gebhard;m
Gedeon;m
Gela;w
Gelsomina;w
Gelsomino;m
Geltrude;w
Geminiano;m
Gemma;w
Gene;m
Genesio;m
Geneviève;w
Gennaro;m
Genovefa;w
Genoveffa;w
Genoveva;w
Gentiana;w
Geoffrey;m
Geoffroi;m
Geoffroy;m
Georg;m
George;m
Georges;m
Georgette;w
Georgi;m
Georgia;w
Georgina;w
Georgine;w
Georgios;m
Georgius;m
Gerald;m
Gérald;m
Geralde;w
Geraldine;w
Géraldine;w
Geraldo;m
Gerard;m
Gérard;m
Gerardo;m
Gerd;m
Gerd-Uwe;m
Gerda;w
Geremia;m
Gerfried;m
Gerhard;m
Gerharda;w
Gerharde;w
Gerhart;m
Gerhild;w
Gerhilde;w
Gerit;w
Gerit;m
Gerlind;w
Gerlinde;w
Germain;m
Germaine;w
German;m
Germana;w
Germano;m
Gernot;m
Gero;m
Gerolamo;m
Gerold;m
Geronimo;m
Gerrit;w
Gerrit;m
Gerry;m
Gert;m
Gertraud;w
Gertrud;w
Gertrude;w
Gervin;m
Gerwig;m
Gerwin;m
Gesche;w
Getraud;w
Géza;m
Giacinto;m
Giacobbe;m
Giacoma;w
Giacomo;m
Giada;w
Gian;m
Giancarlo;m
Gianfranco;m
Gianna;w
Gianni;m
Gideon;m
Gidon;m
Gil;m
Gilbert;m
Gilberta;w
Gilberto;m
Gilda;w
Gildo;m
Giles;m
Gill;w
Gilles;m
Gilles;m
Gillian;w
Gillis;m
Gina;w
Ginevra;w
Gino;m
Gioacchino;m
Gioele;m
Gioia;w
Gion;m
Giona;m
Giordano;m
Giorgia;w
Giorgio;m
Giosuè;m
Giovanna;w
Giovanni;m
Giovannino;m
Giraldo;m
Girolamo;m
Gisela;w
Gisèle;w
Gisella;w
Giselle;w
Giso;m
Gitta;w
Giuda;m
Giuditta;w
Giulia;w
Giuliana;w
Giuliano;m
Giulietta;w
Giulio;m
Giuseppa;w
Giuseppe;m
Giuseppina;w
Giustina;w
Giusto;m
Gizem;w
Gladys;w
Glen;m
Glenda;w
Glenn;m
Gloria;w
Gloriana;w
Goddard;m
Godfrey;m
Godlef;m
Goffredo;m
Gökhan;m
Gomberto;m
Gomer;m
Goran;m
Gordan;m
Gordana;w
Gordon;m
Gösta;m
Gottfried;m
Gotthard;m
Gottlieb;m
Götz;m
Grace;w
Gracia;w
Graciano;m
Graham;m
Granit;m
Grant;m
Gratian;m
Gratien;m
Grazia;w
Graziano;m
Greg;m
Gregg;m
Grégoire;m
Gregor;m
Gregorio;m
Gregory;m
Grégory;m
Gresa;w
Greta;w
Gretel;w
Grover;m
Guadalupe;w
Guadalupe;m
Gualtiero;m
Guarino;m
Gudrun;w
Guerrino;m
Guglielmo;m
Guido;m
Guillaume;m
Guillermo;m
Guiseppa;w
Guiseppe;m
Guiseppina;w
Gunar;m
Gunda;w
Gunde;w
Gundela;w
Gundula;w
Günes;w
Gunnar;m
Guntbert;m
Gunter;m
Günter;m
Gunther;m
Günther;m
Guntram;m
Gus;m
Gustaaf;m
Gustaf;m
Gustav;m
Gustave;m
Gustavo;m
Gustl;m
Guy;m
Gwen;w
Gwenda;w
Gwendolen;w
Gwendolin;w
Gwendoline;w
Gwendolyn;w
Gwenfrewi;w
Gwladys;w
Gyles;m
Hadrian;m
Hagen;m
Hailey;w
Hajo;m
Hakan;m
Haley;w
Hallie;w
Hamid;m
Hanan;w
Hanna;w
Hanna;w
Hannah;w
Hanne;w
Hannelore;w
Hannes;m
Hanno;m
Hans;m
Hans-Christian;m
Hans-Georg;m
Hans-Jürgen;m
Hans-Martin;m
Hans-Peter;m
Hansjörg;m
Hansjürgen;m
Hanspeter;m
Harald;m
Haris;m
Harold;m
Harriet;w
Harrison;m
Harry;m
Hartmut;m
Hartwig;m
Harun;m
Harvey;m
Harwig;m
Hasan;m
Haskel;m
Hassan;m
Hattie;w
Hauke;m
Hayley;w
Hazel;w
Heather;w
Hector;m
Hedda;w
Hede;w
Hedi;w
Hedvig;w
Hedwig;w
Hedy;w
Heide;w
Heidelinde;w
Heidemaria;w
Heidemarie;w
Heidi;w
Heidrun;w
Heike;w
Heiko;m
Heimo;m
Heiner;m
Heino;m
Heinrich;m
Heinrika;w
Heinrike;w
Heinz;m
Hektor;m
Helder;m
Helen;w
Helena;w
Helene;w
Hélène;w
Helga;w
Helge;w
Hella;w
Hellmuth;m
Helma;w
Helmut;m
Helmuth;m
Héloïse;w
Hemma;w
Hendrick;m
Hendrik;m
Hendrikje;w
Hennes;m
Henning;m
Henoch;m
Henok;m
Henri;m
Henrick;m
Henrietta;w
Henriette;w
Henrik;m
Henrika;w
Henrike;w
Henry;m
Henry Georg;m
Hera;w
Herbert;m
Herbie;m
Herman;m
Hermann;m
Hermenegildo;m
Hermina;w
Hermine;w
Herta;w
Hertha;w
Hertwig;m
Hervé;m
Herwig;m
Hesekiel;m
Hetty;w
Hieronymus;m
Hilal;m
Hilar;m
Hilaria;w
Hilarius;m
Hilary;w
Hilda;w
Hilde;w
Hildegard;w
Hilka;w
Hilke;w
Hiltraud;w
Hiltrud;w
Hinrich;m
Hinrik;m
Hiob;m
Hipolito;m
Hippolyt;m
Hippolyta;w
Hippolyte;m
Hjördis;w
Holda;w
Holde;w
Holger;m
Hollie;w
Holly;w
Homer;m
Honora;w
Honoré;m
Honorée;w
Honoria;w
Honorine;w
Honorius;m
Honour;w
Hope;w
Horace;m
Horatio;m
Horaz;m
Horst;m
Hortense;w
Hortensia;w
Hosea;m
Howard;m
Hubert;m
Hugh;m
Hugo;m
Hugues;m
Hulda;w
Huldah;w
Hülya;w
Humbert;m
Humphrey;m
Hunfried;m
Hunter;m
Hüseyin;m
Hussain;m
Hussein;m
Hyacinth;w
Hyacinth;m
Iain;m
Ian;m
Ibrahim;m
Ida;w
Idony;w
Iduna;w
Iefan;m
Iesha;w
Ignace;m
Ignatia;w
Ignaz;m
Ignazia;w
Ignazio;m
Igor;m
Ijob;m
Ike;m
Ilan;m
Ilana;w
Ilaria;w
Ilario;m
Ilenia;w
Ilir;m
Ilja;m
Ilona;w
Ilse;w
Ilva;w
Ilyas;m
Imelda;w
Imelde;w
Immanuel;m
Imme;w
Imogen;w
Imre;m
Ina;w
Indira;w
Indra;m
Ines;w
Inés;w
Inès;w
Inês;w
Inéz;w
Ing;m
Inga;w
Inge;w
Ingeborg;w
Ingela;w
Ingemar;m
Ingmar;m
Ingo;m
Ingolf;m
Ingomar;m
Ingrid;w
Ingvar;m
Ingvi;m
Ingwaz;m
Ingwio;m
Inken;w
Inko;m
Innocenzo;m
Innokenti;m
Innozenz;m
Inocencio;m
Ioannis;m
Iolanda;w
Iole;w
Ippolita;w
Ippolito;m
Ira;w
Irena;w
Irene;w
Irène;w
Iride;w
Irina;w
Iris;w
Irma;w
Irmgard;w
Irmhild;w
Irmhilde;w
Irmtraud;w
Irmtrud;w
Irvin;m
Irwin;m
Isaac;m
Isaak;m
Isabel;w
Isabell;w
Isabella;w
Isabelle;w
Isacco;m
Isachar;m
Isaiah;m
Isaias;m
Isak;m
Isaline;w
Iseult;w
Ishmael;m
Iside;w
Isidor;m
Isidora;w
Isidore;w
Isidore;m
Isidoro;m
Isis;w
Ismael;m
Ismail;m
Isolde;w
Isolina;w
Isotta;w
Israel;m
Issachar;m
István;m
Itala;w
Italo;m
Iti;m
Itria;w
Iva;w
Ivan;m
Ivana;w
Ivano;m
Ivica;m
Ivo;m
Ivona;w
Ivonne;w
Ivor;m
Ivy;w
Iwan;m
Iwana;w
Izet;m
Izydor;m
J.-Christian;m
Jacenty;m
Jachen;m
Jachym;m
Jacinda;m
Jacinta;m
Jacinto;m
Jack;m
Jackie;w
Jackie;m
Jackson;m
Jacky;w
Jacky;m
Jacob;m
Jacopo;m
Jacqueline;w
Jacquelyn;w
Jacques;m
Jade;w
Jael;w
Jago;m
Jahwe;m
Jaime;m
Jake;m
Jakob;m
Jakoba;w
Jakobea;w
Jakobine;w
Jakobus;m
Jakow;m
Jamal;w
Jamal;m
James;m
Jamie;w
Jamil;m
Jamila;w
Jan;m
Jan-Florian;m
Jan-Helge;m
Jana;w
Jane;w
Janet;w
Janette;w
Janic;m
Janice;w
Janick;m
Janie;w
Janik;m
Janika;m
Janin;w
Janina;w
Janine;w
Janis;w
Janis;m
Jankó;m
Jann;m
Janna;w
Janne;w
Jannes;m
Jannic;m
Jannick;m
Jannik;m
Jannine;w
Jannis;m
Janós;m
Janosch;m
Jaqueline;w
Jared;m
Jarno;m
Jarod;m
Jaromierz;m
Jaromir;m
Jaron;m
Jaroslav;m
Jaroslaw;m
Jarrod;m
Jascha;m
Jasmin;w
Jasmina;w
Jasmine;w
Jason;m
Jasper;m
Javier;m
Jay;m
Jean;w
Jean;m
Jean-Pascal;m
Jeanette;w
Jeanie;w
Jeanine;w
Jeanne;w
Jeannette;w
Jeannine;w
Jeff;m
Jeffery;m
Jeffrey;m
Jefrem;m
Jehoahaz;m
Jehona;w
Jehova;m
Jehovah;m
Jekaterina;w
Jelena;w
Jelka;w
Jelke;m
Jelto;m
Jemima;w
Jenaro;m
Jenifer;w
Jenna;w
Jennie;w
Jennifer;w
Jenny;w
Jenny;w
Jennyfer;w
Jenö;m
Jens;m
Jens Harry;m
Jeremia;m
Jeremiah;m
Jeremias;m
Jérémie;m
Jeremy;m
Jerker;m
Jermaine;m
Jerome;m
Jérôme;m
Jeron;m
Jeronimo;m
Jerry;m
Jerry;m
Jesaja;m
Jesper;m
Jesse;m
Jessica;w
Jessie;w
Jessika;w
Jessy;w
Jesus;m
Jethro;m
Jetmir;m
Jette;w
Jetty;w
Jevdokija;w
Jewel;w
Jewell;w
Jewgeni;m
Jil;w
Jill;w
Jim;m
Jimmie;m
Jimmy;m
Jina;w
Jing;w
Jirí;m
Jo;w
Jo;m
Jo;m
Joachim;m
Joah;m
Joahas;m
Joahaz;m
Joakim;m
Joan;w
Joana;w
Joann;w
Joanna;w
Joanne;w
João;m
Joaquim;m
Joas;m
Job;m
Joceline;w
Jocelyn;w
Jochen;m
Jodi;w
Jodie;w
Jodok;m
Jodokus;m
Jody;w
Joe;m
Joel;m
Joël;m
Joelle;w
Joëlle;w
Joey;m
Johan;m
Johann;m
Johanna;w
Johanne;w
Johannes;m
John;m
Johna;w
Johnathan;m
Johnnie;m
Johnny;m
Jolanda;w
Jolanta;w
Jolantha;w
Jolanthe;w
Jole;w
Jolina;w
Joline;w
Jon;m
Jonah;m
Jonas;m
Jonatan;m
Jonathan;m
Jonathas;m
Jonathon;m
Jones;m
Joost;m
Jorck;m
Jordan;m
Jordano;m
Jordi;m
Jörg;m
Jorge;m
Jörgen;m
Joris;m
Joris;m
Jörn;m
Josceline;w
Joschua;m
José;m
Josée;w
Josef;m
Josefa;w
Josefina;w
Josefine;w
Joseph;m
Josepha;w
Joséphine;w
Joshua;m
Josiah;m
Josiane;w
Josias;m
Josip;m
Josua;m
Jourdain;m
Jovan;m
Jovana;w
Joy;w
Joyce;w
Jozef;m
Jozsef;m
Juán;m
Juana;w
Juanita;w
Juanito;m
Juda;m
Judah;m
Judas;m
Judita;w
Judith;w
Juditha;w
Judy;w
Judyta;w
Jules;m
Julia;w
Julian;m
Juliana;w
Juliane;w
Julie;w
Julien;m
Julienne;w
Juliette;w
Julijana;w
Julika;w
Juline;w
Julio;m
Julius;m
June;w
Junia;w
Juno;w
Jupiter;m
Jupp;m
Jürg;m
Jürgen;m
Jürgen Richy;m
Juri;m
Just;m
Justa;w
Juste;m
Justin;m
Justina;w
Justine;w
Justinian;m
Justus;m
Jutta;w
Jutte;w
Kaan;m
Kadir;m
Kaela;w
Kai;m
Kaija;w
Kaitlyn;w
Kaj;m
Kaja;w
Kajetan;m
Kaleb;m
Kalila;w
Kalixtus;m
Kalle;m
Kaltrina;w
Kamilla;w
Kamillo;m
Kara;w
Karel;m
Karen;w
Karim;m
Karima;w
Karin;w
Karina;w
Karina;w
Karine;w
Karine;w
Karita;w
Karl;m
Karl-Martin;m
Karla;w
Karlheinz;m
Karol;m
Karola;w
Karolin;w
Karolina;w
Karoline;w
Károly;m
Karsten;m
Kasey;w
Kasey;m
Kasimir;m
Kaspar;m
Kasper;m
Kassandra;w
Kassidy;w
Katalin;w
Katarina;w
Katarzyna;w
Kate;w
Käte;w
Katelyn;w
Katerina;w
Katharina;w
Katharine;w
Käthe;w
Katherina;w
Katherine;w
Kathleen;w
Kathrin;w
Kathrina;w
Kathryn;w
Kathy;w
Kati;w
Katia;w
Katie;w
Katinka;w
Katja;w
Katrien;w
Katrijn;w
Katrin;w
Katrina;w
Kay;m
Kayla;w
Kaylee;w
Kayleen;w
Kayleigh;w
Kaylene;w
Kayley;w
Keanu;m
Keith;m
Keld;m
Kelemen;m
Kelli;w
Kelly;w
Kelsey;w
Kelsey;m
Kelvin;m
Kemal;m
Ken;m
Kenan;m
Kendall;w
Kendall;m
Kendra;w
Kendrick;m
Kenelm;m
Kennard;m
Kennedy;w
Kennedy;m
Kenneth;m
Kenny;m
Keno;m
Kenrick;m
Kent;m
Kenton;m
Kenza;w
Kerem;m
Kerim;m
Kerry;w
Kersten;m
Kerstin;w
Kettil;m
Ketty;w
Kevin;m
Khalil;m
Khalilah;w
Kian;m
Kiana;w
Kieran;m
Kieron;m
Kilian;m
Killian;m
Kim;m
Kimberley;w
Kimberly;w
Kimi;m
Kira;w
Kirk;m
Kirsten;w
Kirsten;m
Kirstin;w
Kitty;w
Kjeld;m
Kjell;m
Kjetil;m
Klaas;m
Klaes;m
Klara;w
Klarina;w
Klarinda;w
Klarinde;w
Klarine;w
Klarissa;w
Klaudia;w
Klaudius;m
Klaudiusz;m
Klaus;m
Klemens;m
Klementine;w
Klemenz;m
Kleopatra;w
Kliment;m
Klothilde;w
Klotild;w
Klotilde;w
Knud;m
Knut;m
Kolja;m
Konrad;m
Konradin;m
Konstantin;m
Konstantina;w
Konstantine;w
Konstanze;w
Koray;m
Korbinian;m
Kordt;m
Kordula;w
Korey;m
Korinna;w
Korinne;w
Kornel;m
Kornelia;w
Kornelius;m
Korneliusz;m
Korona;w
Kory;m
Kreshnik;m
Krishan;m
Krista;w
Kristen;w
Kristi;w
Kristian;m
Kristijan;m
Kristin;w
Kristina;w
Kristine;w
Kristof;m
Kristoffer;m
Kristy;w
Krystof;m
Krysztof;m
Kübra;w
Kuebra;w
Kunibert;m
Kunigunde;w
Kuno;m
Kunz;m
Kurt;m
Kushtrim;m
Kyla;w
Kyle;w
Kyle;m
Kylian;m
Kyra;w
Kyrill;m
Kyrillus;m
Kyros;m
Labinot;m
Ladina;w
Ladislao;m
Ladislaus;m
Ladislav;m
Ladislava;w
Laeticia;w
Laila;w
Lajos;m
Lambert;m
Lamberto;m
Lambrecht;m
Lampert;m
Lamprecht;m
Lana;w
Lance;m
Lando;m
Landolf;m
Landolfo;m
Landulf;m
Lanfranco;m
Lanfrank;m
Lara;w
Larina;w
Larisa;w
Larissa;w
Larry;m
Lars;m
Laslo;m
Lasse;m
László;m
Lätitia;w
Lätizia;w
Laura;w
Laurane;w
Lauranne;w
Laure;w
Laureen;w
Lauren;w
Laurence;w
Laurence;m
Laurene;w
Laurens;m
Laurent;m
Laurente;m
Laurenz;m
Laurenzo;m
Lauretta;w
Lauriane;w
Laurie;w
Laurin;m
Laurine;w
Lauro;m
Laverna;w
Laverne;w
Lavinia;w
Lawrence;m
Layla;w
Lazar;m
Lazarus;m
Lazzaro;m
Lea;w
Léa;w
Leah;w
Leana;w
Leander;m
Leandra;w
Leandro;m
Leandros;m
Leann;w
Leanna;w
Lee;w
Lee;m
Leif;m
Leigh;w
Leigh;m
Leila;w
Leilah;w
Lejla;w
Lelia;w
Lelio;m
Lena;w
Lena;w
Lene;w
Lenia;w
Lenio;w
Lennard;m
Lennart;m
Lennert;m
Lenny;m
Lenya;w
Lenz;m
Leo;m
Leola;w
Leon;m
Léon;m
Leona;w
Leonard;m
Léonard;m
Leonarda;w
Leonardo;m
Léonce;m
Leone;m
Leonello;m
Leonhard;m
Leoni;w
Léoni;w
Leonid;m
Leonida;w
Leonido;m
Leonie;w
Leonita;w
Leonor;w
Leonora;w
Leonore;w
Leopold;m
Léopold;m
Leopoldine;w
Leopoldo;m
Leotrim;m
Leroy;m
Lesley;w
Lesley;m
Leslie;w
Leslie;m
Lester;m
Leticia;w
Letizia;w
Lettice;w
Leunora;w
Leutrim;m
Lev;m
Levi;m
Levin;m
Lew;m
Lewin;m
Lewis;m
Leyla;w
Lia;w
Liam;m
Liana;w
Liane;w
Libera;w
Liberio;m
Libero;m
Libor;m
Libusa;w
Licia;w
Licio;m
Lidia;w
Lidwina;w
Lienhard;m
Liesa;w
Liesbeth;w
Liese;w
Liesel;w
Lieselotte;w
Lili;w
Lilia;w
Lilian;w
Liliana;w
Liliane;w
Lilith;m
Lilli;w
Lillian;w
Lillie;w
Lilly;w
Lily;w
Lina;w
Linda;w
Linde;w
Lindita;w
Lindsay;w
Lindsay;m
Lindsey;w
Lindsey;m
Line;w
Linn;w
Linnea;w
Linnéa;w
Lino;m
Linus;m
Lioba;w
Lion;m
Lionardo;m
Lionel;m
Lior;m
Liora;w
Liridon;m
Liridona;w
Lirim;m
Lisa;w
Lisanne;w
Lisbeth;w
Lise;w
Liselotte;w
Lisette;w
Liv;w
Livia;w
Livio;m
Livius;m
Liz;w
Liza;w
Lizzie;w
Ljuba;w
Ljubica;w
Lloyd;m
Loan;m
Lodewijk;m
Lodovica;w
Lodovico;m
Logan;m
Loïc;m
Lois;m
Lokman;m
Lola;w
Lolita;w
Lonnie;m
Lora;w
Loraine;w
Lore;w
Loredana;w
Loreen;w
Loren;w
Loren;m
Lorena;w
Lorene;w
Lorenz;m
Lorenza;w
Lorenzo;m
Loretta;w
Lori;w
Loriana;w
Loris;w
Lorraine;w
Lorrie;w
Lothair;m
Lothaire;m
Lothar;m
Lotta;w
Lotte;w
Lou;w
Lou;m
Louie;m
Louis;m
Louisa;w
Louise;w
Lovis;m
Lovisa;w
Lovise;w
Lowell;m
Luan;m
Luana;w
Luc;m
Luca;m
Lucano;m
Lucas;m
Lucia;w
Lucian;m
Luciana;w
Luciano;m
Lucie;w
Lucien;m
Lucienne;w
Lucile;w
Lucilla;w
Lucille;w
Lucinda;w
Lucio;m
Lucius;m
Lucjan;m
Lucrezia;w
Lucy;w
Ludewig;m
Ludger;m
Ludivine;w
Ludmila;w
Ludmilla;w
Ludovic;m
Ludovica;w
Ludovico;m
Ludvig;m
Ludvik;m
Ludwig;m
Ludwig Maximilian;m
Ludwik;m
Ludwina;w
Luigi;m
Luigia;w
Luis;m
Luisa;w
Luise;w
Luitgard;w
Luitpold;m
Luka;m
Lukacs;m
Lukas;m
Lukasz;m
Luke;m
Lula;w
Luna;w
Lupe;m
Lutgard;w
Luther;m
Lutz;m
Luuk;m
Luz;w
Luzia;w
Luzie;w
Luzius;m
Lydia;w
Lydie;w
Lyle;m
Lyn;w
Lynda;w
Lyndon;m
Lynn;w
Lynne;w
Lyuba;w
Lyubov;w
Maarten;m
Mabel;w
Macaire;m
Macario;m
Mackenzie;w
Mackenzie;m
Maddalena;w
Maddison;w
Madelaine;w
Madeleine;w
Madelena;w
Madeline;w
Madisen;m
Madison;w
Madison;m
Madisyn;m
Madita;w
Madlaina;w
Madleine;w
Madlena;w
Madlene;w
Madonna;w
Madyson;m
Mae;w
Maelle;w
Maëlle;w
Maeva;w
Maeve;w
Mafalda;w
Magali;w
Magalie;w
Magda;w
Magdalen;w
Magdalena;w
Magdalene;w
Maggie;w
Maggy;w
Maghnus;m
Magnolia;w
Magnus;m
Magret;w
Mahmud;m
Maia;w
Maik;m
Maika;w
Maike;w
Maiken;w
Máire;w
Máirín;w
Máirtín;m
Maite;w
Maite;w
Maja;w
Majlinda;w
Makar;m
Makari;m
Makayla;w
Maksim;m
Malaika;w
Malcolm;m
Mali;w
Malik;m
Malika;w
Malin;w
Malina;w
Malinda;w
Malte;m
Malve;w
Mamie;w
Mandy;w
Manfred;m
Manfredi;m
Manfredo;m
Manlio;m
Manoel;m
Manolo;m
Manon;w
Måns;m
Manuel;m
Manuela;w
Manuele;m
Mara;w
Marah;w
Maraike;w
Marc;m
Marcas;m
Marcel;m
Marcela;w
Marcell;m
Marcella;w
Marcelle;w
Marcello;m
Marcellus;m
Marcelo;m
Marcia;w
Marcin;m
Marcio;m
Marco;m
Marcos;m
Marcus;m
Maredudd;m
Mareen;w
Mareike;w
Marek;m
Marella;w
Maren;w
Marene;w
Margaret;w
Margareta;w
Margarete;w
Margaretha;w
Margarethe;w
Margarita;w
Margaritha;w
Margaux;w
Marge;w
Margery;w
Margherita;w
Margie;w
Margit;w
Margitta;w
Margot;w
Margret;w
Margreth;w
Margrit;w
Margrith;w
Margritha;w
Marguerite;w
Maria;w
Mariah;w
Marian;m
Mariana;w
Marianna;w
Marianne;w
Mariano;m
Maribel;w
Marie;w
Marieke;w
Marielena;w
Marielene;w
Marielies;w
Marieliese;w
Mariella;w
Marielle;w
Marieluise;w
Marietheres;w
Marietta;w
Mariette;w
Marigold;w
Marigona;w
Marija;w
Marijan;w
Marijana;w
Marika;w
Marike;w
Marilena;w
Marilene;w
Marilies;w
Marilyn;w
Marin;m
Marina;w
Marine;w
Marinella;w
Marino;m
Marinus;m
Mario;m
Marion;w
Mariona;w
Marisa;w
Marissa;w
Marit;w
Marita;w
Maritta;w
Marius;m
Marja;w
Marjorie;w
Mark;m
Markku;m
Marko;m
Markus;m
Marla;w
Marleen;w
Marlen;w
Marlena;w
Marlene;w
Marlies;w
Marliese;w
Marlis;w
Marlise;w
Marlit;w
Marlon;m
Marsha;w
Marshal;m
Marshall;m
Marta;w
Marten;m
Mårten;m
Martha;w
Marthe;w
Martin;m
Martín;m
Martina;w
Martine;w
Martinho;m
Martino;m
Martje;w
